outcome,change_type,unit,twfe_estimate,twfe_std_error,twfe_ci_lower,twfe_ci_upper,twfe_p_value,attgt_estimate,attgt_std_error,attgt_ci_lower,attgt_ci_upper,attgt_p_value,attgt_aggregation,attgt_control_group,n_cohorts,n_treated_hexagons,n_control_hexagons,cohorts_used,sign_disagreement,source
sch_flg,region_and_workmode,percentage_points,0.9346424384321108,1.4893387813636483,-1.9844615730406394,3.8537464499048615,0.5302953021935477,-3.119560865402681,2.716859427094363,-8.444507493565757,2.205385762760395,0.250876458483018,simple,never_treated,4,2232,3928,"2022-07-27, 2022-08-12, 2022-08-19, 2022-09-22",True,differences_post_average_summary + main_event_study_post_summary
sch_flg,region_only,percentage_points,-1.995546629126745,1.7492736882043292,-5.42412305800723,1.4330297997537402,0.2539590604450661,-4.743036256708249,2.9523774438241634,-10.529589715372037,1.043517201955537,0.10816097975873125,simple,never_treated,3,530,3928,"2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
sch_flg,workmode_only,percentage_points,-0.2625487126078089,1.1419002598038681,-2.5006732218233902,1.9755757966077727,0.8181518900236088,-2.618694458433131,2.666974552455279,-7.845868528930307,2.6084796120640448,0.32615056684944005,simple,never_treated,4,1748,3928,"2022-07-27, 2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
meet_flg,region_and_workmode,percentage_points,-0.9733245505205934,2.1655186483040465,-5.217741101196525,3.271092000155338,0.6530963470121667,-2.127097226180345,6.366213700517723,-14.604646797080543,10.350452344719853,0.7382868864800298,simple,never_treated,3,2222,3928,"2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
meet_flg,region_only,percentage_points,1.978328035807279,2.553056879931041,-3.025663448857562,6.98231952047212,0.43840702493140304,-9.02787895516548,5.41136138931315,-19.633952385549886,1.5781944752189248,0.09525234725825604,simple,never_treated,3,530,3928,"2022-08-12, 2022-08-19, 2022-09-22",True,differences_post_average_summary + main_event_study_post_summary
meet_flg,workmode_only,percentage_points,0.4333788708661069,1.6260586325251312,-2.7536960488831506,3.6204537906153647,0.7898379420013227,6.229347908183449,4.3795803184444635,-2.3544717833681608,14.813167599735058,0.1549212358652983,simple,never_treated,3,1625,3928,"2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
success_within_20,region_and_workmode,percentage_points,-0.7152227337593001,2.4139396748442223,-5.446544496453976,4.016099028935376,0.7670097142938028,-3.6788751341678876,9.362864847203053,-22.029753026801984,14.672002758466213,0.6943771273735655,simple,never_treated,3,2204,3901,"2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
success_within_20,region_only,percentage_points,-5.983488471089745,3.224708365912617,-12.303916868278474,0.3369399260989822,0.06352299673081228,-13.120582805971992,12.310529368421472,-37.24877699870069,11.007611386756711,0.2865133041359645,simple,never_treated,3,527,3901,"2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
success_within_20,workmode_only,percentage_points,-0.5384891149615899,1.7569202008563656,-3.9820527086400666,2.905074478716887,0.7592269811309005,5.127543692592946,4.96408411231752,-4.601882383776879,14.856969768962772,0.3016373850933818,simple,never_treated,3,1618,3901,"2022-08-12, 2022-08-19, 2022-09-22",True,differences_post_average_summary + main_event_study_post_summary
utlz_within_25,region_and_workmode,percentage_points,1.8675244205033101,2.6129328257811624,-3.2538239180277677,6.988872759034388,0.4747799312575854,3.17441797222401,10.08835244256633,-16.598389478552683,22.947225423000706,0.7530185389006436,simple,never_treated,3,2199,3888,"2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
utlz_within_25,region_only,percentage_points,2.730592650528563,4.4610347333142375,-6.013035426767344,11.47422072782447,0.5404725926175028,-4.420819156032711,14.388028809713143,-32.62083743159518,23.779199119529753,0.7586479431182921,simple,never_treated,3,526,3888,"2022-08-12, 2022-08-19, 2022-09-22",True,differences_post_average_summary + main_event_study_post_summary
utlz_within_25,workmode_only,percentage_points,1.0443790246857452,1.8921224917987547,-2.664181059239814,4.752939108611304,0.5809746384702251,7.4442201283914695,5.202170951937248,-2.7518475788259846,17.640287835608927,0.1524349808733846,simple,never_treated,3,1614,3888,"2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
t_available,region_and_workmode,days,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,1.0113327550824152e-22,0.5812284764799824,0.20020971311612484,0.18882464941728128,0.9736323035426836,0.0036949064882874005,simple,never_treated,4,2228,3921,"2022-07-27, 2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
t_available,region_only,days,0.11357373020914052,0.0828896727829141,-0.04889002844537113,0.2760374888636522,0.17063087667453294,0.7815740499604785,0.3582586113366178,0.07940007458937448,1.4837480253315825,0.029139672364831004,simple,never_treated,3,530,3921,"2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
t_available,workmode_only,days,-0.20481303219121794,0.11301839728357514,-0.4263290908670252,0.01670302648458935,0.06995380582038127,0.11231888636875281,0.45606438427681545,-0.7815508814452408,1.0061886541827465,0.8054665944451176,simple,never_treated,4,1747,3921,"2022-07-27, 2022-08-12, 2022-08-19, 2022-09-22",False,differences_post_average_summary + main_event_study_post_summary
