specification,specification_label,outcome,change_type,coef,se,ci_low,ci_high,p_value,n_hexagons,n_hex_day,n_orders,n_treated_hex,n_control_hex,n_treated_orders,filter_rule,status
A,CORE исходная,sch_flg,region_only,-0.01995546629126745,0.01749273688204329,-0.0542412305800723,0.014330297997537402,0.2539590604450661,4458,90710,355537,530,3928,32412,exclude:CORE исходная,ok
A,CORE исходная,sch_flg,workmode_only,-0.0026254871260780886,0.011419002598038682,-0.025006732218233903,0.019755757966077727,0.8181518900236088,5676,116092,434815,1748,3928,111690,exclude:CORE исходная,ok
A,CORE исходная,sch_flg,region_and_workmode,0.009346424384321109,0.014893387813636482,-0.019844615730406395,0.038537464499048615,0.5302953021935477,6160,102301,379636,2232,3928,56511,exclude:CORE исходная,ok
A,CORE исходная,meet_flg,region_only,0.01978328035807279,0.025530568799310413,-0.03025663448857562,0.0698231952047212,0.43840702493140304,4458,90710,355537,530,3928,32412,exclude:CORE исходная,ok
A,CORE исходная,meet_flg,workmode_only,0.004333788708661069,0.016260586325251312,-0.027536960488831506,0.03620453790615365,0.7898379420013227,5553,113234,427191,1625,3928,104066,exclude:CORE исходная,ok
A,CORE исходная,meet_flg,region_and_workmode,-0.009733245505205934,0.021655186483040465,-0.05217741101196525,0.03271092000155338,0.6530963470121667,6150,102247,379506,2222,3928,56381,exclude:CORE исходная,ok
A,CORE исходная,success_within_20,region_only,-0.05983488471089746,0.032247083659126166,-0.12303916868278474,0.003369399260989822,0.06352299673081228,4428,80964,313434,527,3901,28673,exclude:CORE исходная,ok
A,CORE исходная,success_within_20,workmode_only,-0.005384891149615899,0.017569202008563656,-0.039820527086400666,0.029050744787168868,0.7592269811309005,5519,100859,376046,1618,3901,91285,exclude:CORE исходная,ok
A,CORE исходная,success_within_20,region_and_workmode,-0.007152227337593001,0.024139396748442225,-0.05446544496453976,0.040160990289353764,0.7670097142938028,6105,91303,335066,2204,3901,50305,exclude:CORE исходная,ok
A,CORE исходная,utlz_within_25,region_only,0.02730592650528563,0.044610347333142376,-0.060130354267673436,0.11474220727824469,0.5404725926175028,4414,78907,305374,526,3888,27861,exclude:CORE исходная,ok
A,CORE исходная,utlz_within_25,workmode_only,0.01044379024685745,0.018921224917987547,-0.02664181059239814,0.047529391086113044,0.5809746384702251,5502,98260,366370,1614,3888,88857,exclude:CORE исходная,ok
A,CORE исходная,utlz_within_25,region_and_workmode,0.018675244205033102,0.026129328257811623,-0.03253823918027768,0.06988872759034388,0.4747799312575854,6087,88998,326583,2199,3888,49070,exclude:CORE исходная,ok
B,CORE без empirical_closed,sch_flg,region_only,-0.02391329844933488,0.017329884343570575,-0.05787987176273321,0.010053274864063447,0.1676211496407782,4452,90641,355396,524,3928,32271,exclude:CORE без empirical_closed,ok
B,CORE без empirical_closed,sch_flg,workmode_only,-0.002966734631684982,0.011438144036051147,-0.02538549694234523,0.01945202767897527,0.7953482087118163,5663,115936,434459,1735,3928,111334,exclude:CORE без empirical_closed,ok
B,CORE без empirical_closed,sch_flg,region_and_workmode,0.010467177463176262,0.014974302374286043,-0.01888245519042438,0.0398168101167769,0.4845461837064972,6148,102156,379311,2220,3928,56186,exclude:CORE без empirical_closed,ok
B,CORE без empirical_closed,meet_flg,region_only,0.019307810111824156,0.02576000681198797,-0.031181803239672262,0.06979742346332057,0.4535398771954557,4452,90641,355396,524,3928,32271,exclude:CORE без empirical_closed,ok
B,CORE без empirical_closed,meet_flg,workmode_only,0.005980642226913819,0.016291718492334465,-0.025951126018061734,0.03791241047188937,0.7135466080413473,5542,113106,426886,1614,3928,103761,exclude:CORE без empirical_closed,ok
B,CORE без empirical_closed,meet_flg,region_and_workmode,-0.008420677302938757,0.021733832409803505,-0.051018988826153626,0.03417763422027611,0.6984263656637892,6138,102102,379181,2210,3928,56056,exclude:CORE без empirical_closed,ok
B,CORE без empirical_closed,success_within_20,region_only,-0.05889568669844891,0.032490459063248205,-0.1225769864624154,0.004785613065517572,0.06987700469614433,4422,80900,313309,521,3901,28548,exclude:CORE без empirical_closed,ok
