outcome,change_type,coef_spec_A,coef_spec_B,coef_spec_C,se_spec_A,se_spec_B,se_spec_C,ci_low_spec_A,ci_low_spec_B,ci_low_spec_C,ci_high_spec_A,ci_high_spec_B,ci_high_spec_C,n_treated_hex_spec_A,n_treated_hex_spec_B,n_treated_hex_spec_C
meet_flg,region_and_workmode,-0.0097332455052059,-0.0084206773029387,-0.1111457584688258,0.0216551864830404,0.0217338324098035,0.0531962544906404,-0.0521774110119652,-0.0510189888261536,-0.215410417270481,0.0327109200015533,0.0341776342202761,-0.0068810996671705,2222.0,2210.0,73.0
meet_flg,region_only,0.0197832803580727,0.0193078101118241,-0.1106694657105485,0.0255305687993104,0.0257600068119879,0.0610816018817919,-0.0302566344885756,-0.0311818032396722,-0.2303894053988606,0.0698231952047212,0.0697974234633205,0.0090504739777636,530.0,524.0,35.0
meet_flg,workmode_only,0.004333788708661,0.0059806422269138,0.0178289317592758,0.0162605863252513,0.0162917184923344,0.0198858375072953,-0.0275369604888315,-0.0259511260180617,-0.0211473097550229,0.0362045379061536,0.0379124104718893,0.0568051732735747,1625.0,1614.0,269.0
sch_flg,region_and_workmode,0.0093464243843211,0.0104671774631762,-0.0386501702430579,0.0148933878136364,0.014974302374286,0.0318133693040264,-0.0198446157304063,-0.0188824551904243,-0.1010043740789498,0.0385374644990486,0.0398168101167769,0.0237040335928339,2232.0,2220.0,74.0
sch_flg,region_only,-0.0199554662912674,-0.0239132984493348,-0.0753305455835168,0.0174927368820432,0.0173298843435705,0.0341855093575761,-0.0542412305800723,-0.0578798717627332,-0.1423341439243661,0.0143302979975374,0.0100532748640634,-0.0083269472426675,530.0,524.0,35.0
sch_flg,workmode_only,-0.002625487126078,-0.0029667346316849,-0.0025584085601556,0.0114190025980386,0.0114381440360511,0.0145738196165602,-0.0250067322182339,-0.0253854969423452,-0.0311230950086136,0.0197557579660777,0.0194520276789752,0.0260062778883023,1748.0,1735.0,309.0
success_within_20,region_and_workmode,-0.007152227337593,-0.0065742266615407,-0.0860393271300601,0.0241393967484422,0.0241967846304116,0.056268831194075,-0.0544654449645397,-0.0539999245371476,-0.1963262362704473,0.0401609902893537,0.040851471214066,0.024247582010327,2204.0,2192.0,73.0
success_within_20,region_only,-0.0598348847108974,-0.0588956866984489,-0.1240701183584788,0.0322470836591261,0.0324904590632482,0.0773214448368983,-0.1230391686827847,-0.1225769864624154,-0.2756201502387996,0.0033693992609898,0.0047856130655175,0.0274799135218418,527.0,521.0,35.0
success_within_20,workmode_only,-0.0053848911496158,-0.0037620116961029,0.0085627814081585,0.0175692020085636,0.0176080547980401,0.0212660898440651,-0.0398205270864006,-0.0382737991002616,-0.033118754686209,0.0290507447871688,0.0307497757080556,0.0502443175025261,1618.0,1607.0,269.0
utlz_within_25,region_and_workmode,0.0186752442050331,0.0163624304880021,-0.049551017243365,0.0261293282578116,0.0262401146363055,0.0550598463185443,-0.0325382391802776,-0.0350681941991567,-0.1574683160277119,0.0698887275903438,0.067793055175161,0.0583662815409819,2199.0,2187.0,73.0
utlz_within_25,region_only,0.0273059265052856,0.0229286190209035,,0.0446103473331423,0.0448246563762883,,-0.0601303542676734,-0.0649277074766216,,0.1147422072782446,0.1107849455184286,,526.0,520.0,35.0
utlz_within_25,workmode_only,0.0104437902468574,0.0101018077773906,0.0121440014050234,0.0189212249179875,0.0189570933625468,0.023263857303678,-0.0266418105923981,-0.027054095213201,-0.0334531589101854,0.047529391086113,0.0472577107679824,0.0577411617202323,1614.0,1603.0,269.0
