outcome_key,outcome,change_type,estimate_pp,std_error_pp,ci_lower_pp,ci_upper_pp,p_value,n_obs,n_hexagons,n_treated_hexagons,n_treated_requests,horizon_days,pretrend_pval,weighting_rule,excluded_cohorts,utilization_definition,se_status,status
sch_given_request,P(sch=1),region_and_workmode,0.9346424384321108,1.4893387813636483,-1.9844615730406394,3.8537464499048615,0.5302953021935477,102301,6160,2232,56511,,0.41364373813705035,treated_orders_on_post_event_weeks_normalized_to_1,,,full_covariance_weighted_post_average,ok
sch_given_request,P(sch=1),region_only,-1.995546629126745,1.7492736882043292,-5.42412305800723,1.4330297997537402,0.2539590604450661,90710,4458,530,32412,,0.057628808723207525,treated_orders_on_post_event_weeks_normalized_to_1,,,full_covariance_weighted_post_average,ok
sch_given_request,P(sch=1),workmode_only,-0.2625487126078089,1.1419002598038681,-2.5006732218233902,1.9755757966077727,0.8181518900236088,116092,5676,1748,111690,,0.39310309222526874,treated_orders_on_post_event_weeks_normalized_to_1,,,full_covariance_weighted_post_average,ok
meet_given_sch,P(meet=1 | sch=1),region_and_workmode,-2.567520519555829,2.1290051779812607,-6.740370668399101,1.6053296292874422,0.2278283072784209,93461,6082,2222,56381,,0.4749612985144347,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,,full_covariance_weighted_post_average,ok
meet_given_sch,P(meet=1 | sch=1),region_only,4.437037444715146,2.385896170739305,-0.23931904993389208,9.113393939364183,0.06292879275698103,83503,4412,530,32412,,0.42311835388946095,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,,full_covariance_weighted_post_average,ok
meet_given_sch,P(meet=1 | sch=1),workmode_only,-0.07808926377210644,1.5794646880352763,-3.173840052321247,3.0176615247770346,0.9605683845268775,103937,5500,1625,104066,,0.8944823309300706,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,,full_covariance_weighted_post_average,ok
success20_given_meet,P(success_within_20=1 | meet=1),region_and_workmode,-2.118858666327037,1.395018398698908,-4.853094727776897,0.6153773951228226,0.1287939455704068,71305,5784,2204,50305,20.0,0.48370728341783864,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,,full_covariance_weighted_post_average,ok
success20_given_meet,P(success_within_20=1 | meet=1),region_only,-1.5210080882669386,1.8476263492581895,-5.14235573281299,2.1003395562791134,0.41038132034736563,64408,4202,527,28673,20.0,0.008540968454733955,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,,full_covariance_weighted_post_average,ok
success20_given_meet,P(success_within_20=1 | meet=1),workmode_only,-0.0802795686248647,0.8740791081503633,-1.7934746205995766,1.6329154833498474,0.9268213967004088,79436,5239,1618,91285,20.0,0.004514714332071956,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,,full_covariance_weighted_post_average,ok
utlz_given_success20,P(utlz_within_25=1 | success_within_20=1),region_and_workmode,2.5510177734174424,3.2342972028715065,-3.7882047442107103,8.890240291045595,0.4302643097842623,62375,5569,2199,49070,25.0,0.8327491719748189,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,utlz_within_25; H=25; drop neg lags; request+25d<=2022-10-18; exclude 2022-07-27,full_covariance_weighted_post_average,ok
utlz_given_success20,P(utlz_within_25=1 | success_within_20=1),region_only,8.56822070926477,5.26250009105761,-1.7462794692081451,18.882720887737687,0.10348981340070763,56745,4064,526,27861,25.0,0.645771079201478,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,utlz_within_25; H=25; drop neg lags; request+25d<=2022-10-18; exclude 2022-07-27,full_covariance_weighted_post_average,ok
utlz_given_success20,P(utlz_within_25=1 | success_within_20=1),workmode_only,-0.206257427877869,2.1337619409903588,-4.3884308322189725,3.975915976463234,0.9229934293802529,69984,5062,1614,88857,25.0,0.347803125553792,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,utlz_within_25; H=25; drop neg lags; request+25d<=2022-10-18; exclude 2022-07-27,full_covariance_weighted_post_average,ok
