outcome,term,cohort_specification,estimate,std_error,ci_lower,ci_upper,p_value,unit,n_obs,n_hexagons,n_treated_hexagons,n_control_hexagons,n_positive_dose_hexagons,n_negative_dose_hexagons,cohorts_used,status,q_value
sch_flg,post_R,outcome_specific,-1.2373133635597713,0.6154275348916325,-2.443539535434306,-0.031087191685236736,0.04438083406562954,percentage_points_per_workday,149451,8438,4510,3928,641,3339,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,ok,0.07608142982679349
sch_flg,post_W_plus,outcome_specific,0.24676605848774533,0.2704398558498,-0.28329087518755114,0.7768229921630417,0.3615271914643854,percentage_points_per_workday,149451,8438,4510,3928,641,3339,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,ok,0.43383262975726244
sch_flg,post_W_minus,outcome_specific,-0.0010618960841507212,0.06923099744203659,-0.13675332405099988,0.13462953188269844,0.9877621904040645,percentage_points_per_workday,149451,8438,4510,3928,641,3339,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,ok,0.9877621904040645
meet_flg,post_R,outcome_specific,-4.448958224320495,0.8978348915602843,-6.208697706623872,-2.689218742017117,7.233839214304538e-07,percentage_points_per_workday,146539,8305,4377,3928,604,3243,2022-08-12; 2022-08-19; 2022-09-22,ok,4.340303528582723e-06
meet_flg,post_W_plus,outcome_specific,1.3920309691016393,0.35545841010022283,0.695339178160979,2.0887227600422995,9.001486634563349e-05,percentage_points_per_workday,146539,8305,4377,3928,604,3243,2022-08-12; 2022-08-19; 2022-09-22,ok,0.00030188106183359764
meet_flg,post_W_minus,outcome_specific,-0.014091109999977725,0.10544182317651667,-0.2207550980828124,0.19257287808285695,0.8936884616187935,percentage_points_per_workday,146539,8305,4377,3928,604,3243,2022-08-12; 2022-08-19; 2022-09-22,ok,0.974932867220502
success_within_20,post_R,outcome_specific,-7.020301228253299,1.2920832772110364,-9.552763014680595,-4.487839441826003,5.5420603439770844e-08,percentage_points_per_workday,130562,8250,4349,3901,597,3225,2022-08-12; 2022-08-19; 2022-09-22,ok,6.650472412772501e-07
success_within_20,post_W_plus,outcome_specific,1.9006109524279189,0.4886890117198948,0.9427885972784223,2.8584333075774153,0.00010062702061119921,percentage_points_per_workday,130562,8250,4349,3901,597,3225,2022-08-12; 2022-08-19; 2022-09-22,ok,0.00030188106183359764
success_within_20,post_W_minus,outcome_specific,-0.25190133458389946,0.13169455350758769,-0.5100204745192569,0.006217805351457989,0.055779894521983175,percentage_points_per_workday,130562,8250,4349,3901,597,3225,2022-08-12; 2022-08-19; 2022-09-22,ok,0.08366984178297476
utlz_within_25,post_R,outcome_specific,-3.6722057265241457,1.6507151394261015,-6.9075809157963945,-0.4368305372518963,0.026108963525554252,percentage_points_per_workday,127189,8227,4339,3888,595,3218,2022-08-12; 2022-08-19; 2022-09-22,ok,0.052217927051108504
utlz_within_25,post_W_plus,outcome_specific,1.6083407563829804,0.5968562408189794,0.43851210031371335,2.778169412452247,0.007046468499481318,percentage_points_per_workday,127189,8227,4339,3888,595,3218,2022-08-12; 2022-08-19; 2022-09-22,ok,0.01691152439875516
utlz_within_25,post_W_minus,outcome_specific,0.1548812055252488,0.1458320021059506,-0.1309471788800263,0.44070958993052395,0.28821412623332665,percentage_points_per_workday,127189,8227,4339,3888,595,3218,2022-08-12; 2022-08-19; 2022-09-22,ok,0.38428550164443553
t_available,post_R,outcome_specific,1.025231123606507,0.09585688762072202,0.8373533873226876,1.2131088598903264,0.0,days_per_workday,143275,8426,4505,3921,639,3336,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,ok,
t_available,post_W_plus,outcome_specific,-0.4316182993637918,0.02826479049162786,-0.4870167687478061,-0.37621982997977754,0.0,days_per_workday,143275,8426,4505,3921,639,3336,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,ok,
