outcome,cohort_specification,n_treated_hexagons,n_positive_dose_hexagons,n_negative_dose_hexagons,cohorts_used,n_nonzero_dose_hexagons
sch_flg,outcome_specific,4510,641,3339,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,3980
meet_flg,outcome_specific,4377,604,3243,2022-08-12; 2022-08-19; 2022-09-22,3847
success_within_20,outcome_specific,4349,597,3225,2022-08-12; 2022-08-19; 2022-09-22,3822
utlz_within_25,outcome_specific,4339,595,3218,2022-08-12; 2022-08-19; 2022-09-22,3813
t_available,outcome_specific,4505,639,3336,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,3975
sch_flg,inclusive_2022-07-27,4510,641,3339,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,3980
meet_flg,inclusive_2022-07-27,4510,641,3339,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,3980
success_within_20,inclusive_2022-07-27,4482,634,3321,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,3955
utlz_within_25,inclusive_2022-07-27,4472,632,3314,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,3946
t_available,inclusive_2022-07-27,4505,639,3336,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22,3975
