outcome,cohort_specification,delta_w_h,n_hex_R0,n_hex_R1,n_hex_day_R0,n_hex_day_R1,has_overlap_hex,rare_cell
meet_flg,inclusive_2022-07-27,-7,357,0,17514,0,False,False
meet_flg,inclusive_2022-07-27,-6,0,544,0,3986,False,False
meet_flg,inclusive_2022-07-27,-5,76,464,866,5410,True,False
meet_flg,inclusive_2022-07-27,-4,160,311,1914,3763,True,False
meet_flg,inclusive_2022-07-27,-3,62,205,868,3346,True,False
meet_flg,inclusive_2022-07-27,-2,558,83,8117,630,True,False
meet_flg,inclusive_2022-07-27,-1,439,80,5126,373,True,False
meet_flg,inclusive_2022-07-27,0,0,530,0,10884,False,False
meet_flg,inclusive_2022-07-27,1,96,35,1861,253,True,False
meet_flg,inclusive_2022-07-27,2,0,114,0,1164,False,False
meet_flg,inclusive_2022-07-27,3,0,34,0,211,False,False
meet_flg,inclusive_2022-07-27,4,0,95,0,1023,False,False
meet_flg,inclusive_2022-07-27,5,0,44,0,388,False,False
meet_flg,inclusive_2022-07-27,6,0,213,0,1879,False,False
meet_flg,inclusive_2022-07-27,7,0,10,0,49,False,False
meet_flg,outcome_specific,-7,357,0,17514,0,False,False
meet_flg,outcome_specific,-6,0,544,0,3986,False,False
meet_flg,outcome_specific,-5,76,464,866,5410,True,False
meet_flg,outcome_specific,-4,160,311,1914,3763,True,False
meet_flg,outcome_specific,-3,62,201,868,3327,True,False
meet_flg,outcome_specific,-2,513,82,6800,626,True,False
meet_flg,outcome_specific,-1,395,78,4118,353,True,False
meet_flg,outcome_specific,0,0,530,0,10884,False,False
meet_flg,outcome_specific,1,62,35,1328,253,True,False
meet_flg,outcome_specific,2,0,111,0,1153,False,False
meet_flg,outcome_specific,3,0,34,0,211,False,False
meet_flg,outcome_specific,4,0,95,0,1023,False,False
meet_flg,outcome_specific,5,0,44,0,388,False,False
meet_flg,outcome_specific,6,0,213,0,1879,False,False
meet_flg,outcome_specific,7,0,10,0,49,False,False
sch_flg,inclusive_2022-07-27,-7,357,0,17514,0,False,False
sch_flg,inclusive_2022-07-27,-6,0,544,0,3986,False,False
sch_flg,inclusive_2022-07-27,-5,76,464,866,5410,True,False
sch_flg,inclusive_2022-07-27,-4,160,311,1914,3763,True,False
sch_flg,inclusive_2022-07-27,-3,62,205,868,3346,True,False
sch_flg,inclusive_2022-07-27,-2,558,83,8117,630,True,False
sch_flg,inclusive_2022-07-27,-1,439,80,5126,373,True,False
sch_flg,inclusive_2022-07-27,0,0,530,0,10884,False,False
sch_flg,inclusive_2022-07-27,1,96,35,1861,253,True,False
sch_flg,inclusive_2022-07-27,2,0,114,0,1164,False,False
sch_flg,inclusive_2022-07-27,3,0,34,0,211,False,False
sch_flg,inclusive_2022-07-27,4,0,95,0,1023,False,False
sch_flg,inclusive_2022-07-27,5,0,44,0,388,False,False
sch_flg,inclusive_2022-07-27,6,0,213,0,1879,False,False
sch_flg,inclusive_2022-07-27,7,0,10,0,49,False,False
sch_flg,outcome_specific,-7,357,0,17514,0,False,False
sch_flg,outcome_specific,-6,0,544,0,3986,False,False
sch_flg,outcome_specific,-5,76,464,866,5410,True,False
