outcome,cohort_specification,change_type,delta_w_h,n_hexagons,n_hex_day
meet_flg,inclusive_2022-07-27,region_and_workmode,-6,544,3986
meet_flg,outcome_specific,region_and_workmode,-6,544,3986
meet_flg,inclusive_2022-07-27,region_and_workmode,-5,464,5410
meet_flg,outcome_specific,region_and_workmode,-5,464,5410
meet_flg,inclusive_2022-07-27,region_and_workmode,-4,311,3763
meet_flg,outcome_specific,region_and_workmode,-4,311,3763
meet_flg,inclusive_2022-07-27,region_and_workmode,-3,205,3346
meet_flg,outcome_specific,region_and_workmode,-3,201,3327
meet_flg,inclusive_2022-07-27,region_and_workmode,-2,83,630
meet_flg,outcome_specific,region_and_workmode,-2,82,626
meet_flg,inclusive_2022-07-27,region_and_workmode,-1,80,373
meet_flg,outcome_specific,region_and_workmode,-1,78,353
meet_flg,inclusive_2022-07-27,region_and_workmode,1,35,253
meet_flg,outcome_specific,region_and_workmode,1,35,253
meet_flg,inclusive_2022-07-27,region_and_workmode,2,114,1164
meet_flg,outcome_specific,region_and_workmode,2,111,1153
meet_flg,inclusive_2022-07-27,region_and_workmode,3,34,211
meet_flg,outcome_specific,region_and_workmode,3,34,211
meet_flg,inclusive_2022-07-27,region_and_workmode,4,95,1023
meet_flg,outcome_specific,region_and_workmode,4,95,1023
meet_flg,inclusive_2022-07-27,region_and_workmode,5,44,388
meet_flg,outcome_specific,region_and_workmode,5,44,388
meet_flg,inclusive_2022-07-27,region_and_workmode,6,213,1879
meet_flg,outcome_specific,region_and_workmode,6,213,1879
meet_flg,inclusive_2022-07-27,region_and_workmode,7,10,49
meet_flg,outcome_specific,region_and_workmode,7,10,49
meet_flg,inclusive_2022-07-27,region_only,0,530,10884
meet_flg,outcome_specific,region_only,0,530,10884
meet_flg,inclusive_2022-07-27,workmode_only,-7,357,17514
meet_flg,outcome_specific,workmode_only,-7,357,17514
meet_flg,inclusive_2022-07-27,workmode_only,-5,76,866
meet_flg,outcome_specific,workmode_only,-5,76,866
meet_flg,inclusive_2022-07-27,workmode_only,-4,160,1914
meet_flg,outcome_specific,workmode_only,-4,160,1914
meet_flg,inclusive_2022-07-27,workmode_only,-3,62,868
meet_flg,outcome_specific,workmode_only,-3,62,868
meet_flg,inclusive_2022-07-27,workmode_only,-2,558,8117
meet_flg,outcome_specific,workmode_only,-2,513,6800
meet_flg,inclusive_2022-07-27,workmode_only,-1,439,5126
meet_flg,outcome_specific,workmode_only,-1,395,4118
meet_flg,inclusive_2022-07-27,workmode_only,1,96,1861
meet_flg,outcome_specific,workmode_only,1,62,1328
sch_flg,inclusive_2022-07-27,region_and_workmode,-6,544,3986
sch_flg,outcome_specific,region_and_workmode,-6,544,3986
sch_flg,inclusive_2022-07-27,region_and_workmode,-5,464,5410
sch_flg,outcome_specific,region_and_workmode,-5,464,5410
sch_flg,inclusive_2022-07-27,region_and_workmode,-4,311,3763
sch_flg,outcome_specific,region_and_workmode,-4,311,3763
sch_flg,inclusive_2022-07-27,region_and_workmode,-3,205,3346
sch_flg,outcome_specific,region_and_workmode,-3,205,3346
sch_flg,inclusive_2022-07-27,region_and_workmode,-2,83,630
sch_flg,outcome_specific,region_and_workmode,-2,83,630
sch_flg,inclusive_2022-07-27,region_and_workmode,-1,80,373
sch_flg,outcome_specific,region_and_workmode,-1,80,373
sch_flg,inclusive_2022-07-27,region_and_workmode,1,35,253
sch_flg,outcome_specific,region_and_workmode,1,35,253
sch_flg,inclusive_2022-07-27,region_and_workmode,2,114,1164
sch_flg,outcome_specific,region_and_workmode,2,114,1164
sch_flg,inclusive_2022-07-27,region_and_workmode,3,34,211
sch_flg,outcome_specific,region_and_workmode,3,34,211
sch_flg,inclusive_2022-07-27,region_and_workmode,4,95,1023
sch_flg,outcome_specific,region_and_workmode,4,95,1023
sch_flg,inclusive_2022-07-27,region_and_workmode,5,44,388
sch_flg,outcome_specific,region_and_workmode,5,44,388
sch_flg,inclusive_2022-07-27,region_and_workmode,6,213,1879
sch_flg,outcome_specific,region_and_workmode,6,213,1879
sch_flg,inclusive_2022-07-27,region_and_workmode,7,10,49
sch_flg,outcome_specific,region_and_workmode,7,10,49
sch_flg,inclusive_2022-07-27,region_only,0,530,10884
sch_flg,outcome_specific,region_only,0,530,10884
sch_flg,inclusive_2022-07-27,workmode_only,-7,357,17514
sch_flg,outcome_specific,workmode_only,-7,357,17514
sch_flg,inclusive_2022-07-27,workmode_only,-5,76,866
sch_flg,outcome_specific,workmode_only,-5,76,866
sch_flg,inclusive_2022-07-27,workmode_only,-4,160,1914
sch_flg,outcome_specific,workmode_only,-4,160,1914
sch_flg,inclusive_2022-07-27,workmode_only,-3,62,868
sch_flg,outcome_specific,workmode_only,-3,62,868
sch_flg,inclusive_2022-07-27,workmode_only,-2,558,8117
sch_flg,outcome_specific,workmode_only,-2,558,8117
sch_flg,inclusive_2022-07-27,workmode_only,-1,439,5126
sch_flg,outcome_specific,workmode_only,-1,439,5126
sch_flg,inclusive_2022-07-27,workmode_only,1,96,1861
sch_flg,outcome_specific,workmode_only,1,96,1861
success_within_20,inclusive_2022-07-27,region_and_workmode,-6,539,3587
success_within_20,outcome_specific,region_and_workmode,-6,539,3587
success_within_20,inclusive_2022-07-27,region_and_workmode,-5,462,4855
success_within_20,outcome_specific,region_and_workmode,-5,462,4855
success_within_20,inclusive_2022-07-27,region_and_workmode,-4,310,3349
success_within_20,outcome_specific,region_and_workmode,-4,310,3349
success_within_20,inclusive_2022-07-27,region_and_workmode,-3,204,3003
success_within_20,outcome_specific,region_and_workmode,-3,200,2986
success_within_20,inclusive_2022-07-27,region_and_workmode,-2,82,550
success_within_20,outcome_specific,region_and_workmode,-2,81,547
success_within_20,inclusive_2022-07-27,region_and_workmode,-1,79,326
success_within_20,outcome_specific,region_and_workmode,-1,77,307
success_within_20,inclusive_2022-07-27,region_and_workmode,1,35,224
success_within_20,outcome_specific,region_and_workmode,1,35,224
success_within_20,inclusive_2022-07-27,region_and_workmode,2,113,1038
success_within_20,outcome_specific,region_and_workmode,2,110,1027
success_within_20,inclusive_2022-07-27,region_and_workmode,3,34,183
success_within_20,outcome_specific,region_and_workmode,3,34,183
success_within_20,inclusive_2022-07-27,region_and_workmode,4,93,906
success_within_20,outcome_specific,region_and_workmode,4,93,906
success_within_20,inclusive_2022-07-27,region_and_workmode,5,42,342
success_within_20,outcome_specific,region_and_workmode,5,42,342
success_within_20,inclusive_2022-07-27,region_and_workmode,6,211,1662
success_within_20,outcome_specific,region_and_workmode,6,211,1662
success_within_20,inclusive_2022-07-27,region_and_workmode,7,10,46
success_within_20,outcome_specific,region_and_workmode,7,10,46
success_within_20,inclusive_2022-07-27,region_only,0,527,9682
success_within_20,outcome_specific,region_only,0,527,9682
success_within_20,inclusive_2022-07-27,workmode_only,-7,355,15488
success_within_20,outcome_specific,workmode_only,-7,355,15488
success_within_20,inclusive_2022-07-27,workmode_only,-5,76,777
success_within_20,outcome_specific,workmode_only,-5,76,777
success_within_20,inclusive_2022-07-27,workmode_only,-4,160,1713
success_within_20,outcome_specific,workmode_only,-4,160,1713
success_within_20,inclusive_2022-07-27,workmode_only,-3,62,738
success_within_20,outcome_specific,workmode_only,-3,62,738
success_within_20,inclusive_2022-07-27,workmode_only,-2,556,7193
success_within_20,outcome_specific,workmode_only,-2,511,6009
success_within_20,inclusive_2022-07-27,workmode_only,-1,436,4555
success_within_20,outcome_specific,workmode_only,-1,392,3664
success_within_20,inclusive_2022-07-27,workmode_only,1,96,1656
success_within_20,outcome_specific,workmode_only,1,62,1188
t_available,inclusive_2022-07-27,region_and_workmode,-6,544,3750
t_available,outcome_specific,region_and_workmode,-6,544,3750
t_available,inclusive_2022-07-27,region_and_workmode,-5,464,5117
t_available,outcome_specific,region_and_workmode,-5,464,5117
t_available,inclusive_2022-07-27,region_and_workmode,-4,311,3554
t_available,outcome_specific,region_and_workmode,-4,311,3554
t_available,inclusive_2022-07-27,region_and_workmode,-3,205,3192
t_available,outcome_specific,region_and_workmode,-3,205,3192
t_available,inclusive_2022-07-27,region_and_workmode,-2,82,598
t_available,outcome_specific,region_and_workmode,-2,82,598
t_available,inclusive_2022-07-27,region_and_workmode,-1,79,352
t_available,outcome_specific,region_and_workmode,-1,79,352
t_available,inclusive_2022-07-27,region_and_workmode,1,35,244
t_available,outcome_specific,region_and_workmode,1,35,244
t_available,inclusive_2022-07-27,region_and_workmode,2,114,1113
t_available,outcome_specific,region_and_workmode,2,114,1113
t_available,inclusive_2022-07-27,region_and_workmode,3,34,200
t_available,outcome_specific,region_and_workmode,3,34,200
t_available,inclusive_2022-07-27,region_and_workmode,4,94,976
t_available,outcome_specific,region_and_workmode,4,94,976
t_available,inclusive_2022-07-27,region_and_workmode,5,44,369
t_available,outcome_specific,region_and_workmode,5,44,369
t_available,inclusive_2022-07-27,region_and_workmode,6,212,1781
t_available,outcome_specific,region_and_workmode,6,212,1781
t_available,inclusive_2022-07-27,region_and_workmode,7,10,44
t_available,outcome_specific,region_and_workmode,7,10,44
t_available,inclusive_2022-07-27,region_only,0,530,10429
t_available,outcome_specific,region_only,0,530,10429
t_available,inclusive_2022-07-27,workmode_only,-7,357,16987
t_available,outcome_specific,workmode_only,-7,357,16987
t_available,inclusive_2022-07-27,workmode_only,-5,76,825
t_available,outcome_specific,workmode_only,-5,76,825
t_available,inclusive_2022-07-27,workmode_only,-4,160,1825
t_available,outcome_specific,workmode_only,-4,160,1825
t_available,inclusive_2022-07-27,workmode_only,-3,62,828
t_available,outcome_specific,workmode_only,-3,62,828
t_available,inclusive_2022-07-27,workmode_only,-2,558,7653
t_available,outcome_specific,workmode_only,-2,558,7653
t_available,inclusive_2022-07-27,workmode_only,-1,438,4805
t_available,outcome_specific,workmode_only,-1,438,4805
t_available,inclusive_2022-07-27,workmode_only,1,96,1778
t_available,outcome_specific,workmode_only,1,96,1778
utlz_within_25,inclusive_2022-07-27,region_and_workmode,-6,537,3502
utlz_within_25,outcome_specific,region_and_workmode,-6,537,3502
utlz_within_25,inclusive_2022-07-27,region_and_workmode,-5,462,4734
utlz_within_25,outcome_specific,region_and_workmode,-5,462,4734
utlz_within_25,inclusive_2022-07-27,region_and_workmode,-4,310,3248
utlz_within_25,outcome_specific,region_and_workmode,-4,310,3248
utlz_within_25,inclusive_2022-07-27,region_and_workmode,-3,204,2924
utlz_within_25,outcome_specific,region_and_workmode,-3,200,2907
utlz_within_25,inclusive_2022-07-27,region_and_workmode,-2,82,539
utlz_within_25,outcome_specific,region_and_workmode,-2,81,536
utlz_within_25,inclusive_2022-07-27,region_and_workmode,-1,78,318
utlz_within_25,outcome_specific,region_and_workmode,-1,76,300
utlz_within_25,inclusive_2022-07-27,region_and_workmode,1,35,220
utlz_within_25,outcome_specific,region_and_workmode,1,35,220
utlz_within_25,inclusive_2022-07-27,region_and_workmode,2,112,1015
utlz_within_25,outcome_specific,region_and_workmode,2,109,1004
utlz_within_25,inclusive_2022-07-27,region_and_workmode,3,34,175
utlz_within_25,outcome_specific,region_and_workmode,3,34,175
utlz_within_25,inclusive_2022-07-27,region_and_workmode,4,93,883
utlz_within_25,outcome_specific,region_and_workmode,4,93,883
utlz_within_25,inclusive_2022-07-27,region_and_workmode,5,42,334
