change_type,delta_w_h,n_hexagons
region_and_workmode,-6,544
region_and_workmode,-5,464
region_and_workmode,-4,311
region_and_workmode,-3,205
region_and_workmode,-2,83
region_and_workmode,-1,80
region_and_workmode,1,35
region_and_workmode,2,114
region_and_workmode,3,34
region_and_workmode,4,95
region_and_workmode,5,44
region_and_workmode,6,213
region_and_workmode,7,10
region_only,0,530
workmode_only,-7,357
workmode_only,-5,76
workmode_only,-4,160
workmode_only,-3,62
workmode_only,-2,558
workmode_only,-1,439
workmode_only,1,96
