R_h,delta_w_h,change_type,n_hexagons
0,-7,workmode_only,357
0,-5,workmode_only,76
0,-4,workmode_only,160
0,-3,workmode_only,62
0,-2,workmode_only,558
0,-1,workmode_only,439
0,1,workmode_only,96
1,-6,region_and_workmode,544
1,-5,region_and_workmode,464
1,-4,region_and_workmode,311
1,-3,region_and_workmode,205
1,-2,region_and_workmode,83
1,-1,region_and_workmode,80
1,0,region_only,530
1,1,region_and_workmode,35
1,2,region_and_workmode,114
1,3,region_and_workmode,34
1,4,region_and_workmode,95
1,5,region_and_workmode,44
1,6,region_and_workmode,213
1,7,region_and_workmode,10
