outcome,cohort_specification,n_hex_region_only,n_hex_workmode_only,n_hex_region_and_workmode,overlap_nonzero_delta_values,delta_only_R0,delta_only_R1,rare_overlap_deltas_lt30,identification_flag,note
meet_flg,inclusive_2022-07-27,530,1748,2232,"-5,-4,-3,-2,-1,1",-7,"-6,2,3,4,5,6,7",,partial_overlap,"beta_R separates from workmode doses via region_only (Δw=0, R=1) plus overlapping nonzero Δw at R=0 and R=1; weak/rare overlap weakens dose-conditional interpretation."
meet_flg,outcome_specific,530,1625,2222,"-5,-4,-3,-2,-1,1",-7,"-6,2,3,4,5,6,7",,partial_overlap,"beta_R separates from workmode doses via region_only (Δw=0, R=1) plus overlapping nonzero Δw at R=0 and R=1; weak/rare overlap weakens dose-conditional interpretation."
sch_flg,inclusive_2022-07-27,530,1748,2232,"-5,-4,-3,-2,-1,1",-7,"-6,2,3,4,5,6,7",,partial_overlap,"beta_R separates from workmode doses via region_only (Δw=0, R=1) plus overlapping nonzero Δw at R=0 and R=1; weak/rare overlap weakens dose-conditional interpretation."
sch_flg,outcome_specific,530,1748,2232,"-5,-4,-3,-2,-1,1",-7,"-6,2,3,4,5,6,7",,partial_overlap,"beta_R separates from workmode doses via region_only (Δw=0, R=1) plus overlapping nonzero Δw at R=0 and R=1; weak/rare overlap weakens dose-conditional interpretation."
success_within_20,inclusive_2022-07-27,527,1741,2214,"-5,-4,-3,-2,-1,1",-7,"-6,2,3,4,5,6,7",,partial_overlap,"beta_R separates from workmode doses via region_only (Δw=0, R=1) plus overlapping nonzero Δw at R=0 and R=1; weak/rare overlap weakens dose-conditional interpretation."
success_within_20,outcome_specific,527,1618,2204,"-5,-4,-3,-2,-1,1",-7,"-6,2,3,4,5,6,7",,partial_overlap,"beta_R separates from workmode doses via region_only (Δw=0, R=1) plus overlapping nonzero Δw at R=0 and R=1; weak/rare overlap weakens dose-conditional interpretation."
t_available,inclusive_2022-07-27,530,1747,2228,"-5,-4,-3,-2,-1,1",-7,"-6,2,3,4,5,6,7",,partial_overlap,"beta_R separates from workmode doses via region_only (Δw=0, R=1) plus overlapping nonzero Δw at R=0 and R=1; weak/rare overlap weakens dose-conditional interpretation."
t_available,outcome_specific,530,1747,2228,"-5,-4,-3,-2,-1,1",-7,"-6,2,3,4,5,6,7",,partial_overlap,"beta_R separates from workmode doses via region_only (Δw=0, R=1) plus overlapping nonzero Δw at R=0 and R=1; weak/rare overlap weakens dose-conditional interpretation."
utlz_within_25,inclusive_2022-07-27,526,1737,2209,"-5,-4,-3,-2,-1,1",-7,"-6,2,3,4,5,6,7",,partial_overlap,"beta_R separates from workmode doses via region_only (Δw=0, R=1) plus overlapping nonzero Δw at R=0 and R=1; weak/rare overlap weakens dose-conditional interpretation."
utlz_within_25,outcome_specific,526,1614,2199,"-5,-4,-3,-2,-1,1",-7,"-6,2,3,4,5,6,7",,partial_overlap,"beta_R separates from workmode doses via region_only (Δw=0, R=1) plus overlapping nonzero Δw at R=0 and R=1; weak/rare overlap weakens dose-conditional interpretation."
