outcome,change_type,event_week,coef,se,ci_low,ci_high,pval,estimated,baseline_week,ci_level,cluster_level,estimator
sch_flg,region_and_workmode,-8,0.026046447984702587,0.014089341952031077,-0.001568503247649386,0.05366139921705456,0.0645095357857628,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,-7,0.02654492892351349,0.018149025859479376,-0.009026956955228246,0.06211681480225523,0.14357766993228704,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,-6,0.019019813438123194,0.018636798172715748,-0.017508100670210358,0.055547727546456746,0.3074695233807403,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,-5,0.014491389970407541,0.01890175661251776,-0.022555839689968375,0.051538619630783454,0.4432802535376479,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,-4,0.04446734756692254,0.01878242025882045,0.007654015813121529,0.08128067932072355,0.017910775936587964,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,-3,0.01139301086572178,0.018364928611271324,-0.024602041970140036,0.0473880637015836,0.5350171224680165,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,-2,0.019526933328200095,0.018172279594512043,-0.016090529608794854,0.055144396265195045,0.2825811618226137,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,0,-0.01459453863479035,0.022718686262877586,-0.05912290733706524,0.02993383006748454,0.520613475524986,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,1,-0.014865750533671503,0.019804691835203815,-0.05368272304118257,0.023951221973839563,0.4528846586398798,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,2,0.0029616382833674345,0.019322950522965055,-0.034911126688449264,0.040834403255184136,0.8781852859536698,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,3,0.03177966032359914,0.01884689570556896,-0.005160042578244567,0.06871936322544285,0.09176028269582748,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,4,0.019493524465788982,0.026158584283918547,-0.03177700553959889,0.07076405447117685,0.4561492414401336,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,5,0.0384778647931274,0.024106852599649356,-0.00877129426421578,0.08572702385047057,0.11046126839474635,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,6,0.028779175743332892,0.02696731091523067,-0.02407644933321046,0.08163480081987624,0.28588988474173394,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,7,0.050566246477811654,0.025719797181734245,0.00015573424113567158,0.10097675871448764,0.04929643667524064,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_and_workmode,8,0.004854084348524692,0.027996831863815432,-0.05001939016943665,0.05972755886648603,0.8623532890961072,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,-8,-0.011987880567208162,0.015690111308389022,-0.042740366274607006,0.01876460514019068,0.4448452002997725,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,-7,-0.046546293697516825,0.022065137712387637,-0.08979377733832336,-0.0032988100567102815,0.034904773271772216,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,-6,0.018311200373442558,0.020957305707130554,-0.02276494188945725,0.05938734263634236,0.3822632343843684,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,-5,-2.889899633354747e-07,0.022466587427244965,-0.04403461068282299,0.04403403270289632,0.9999897367608366,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,-4,-0.025960859478995058,0.022943062562344373,-0.07092906841421233,0.01900734945622221,0.2578334795871502,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,-3,-0.029595604742419707,0.02174291131933743,-0.07221152737310614,0.013020317888266728,0.17346635428534674,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,-2,-0.05019781904493636,0.0241274058762907,-0.09748733087717734,-0.002908307212695381,0.03747979477946739,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,0,-0.04975577872330382,0.02693501820929217,-0.10254818702616322,0.00303662957955559,0.06471399002763212,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,1,0.0075650812874796265,0.022404289365985288,-0.03634713673123576,0.05147729930619501,0.7356185988819477,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,2,-0.003032544880777552,0.02300464999945807,-0.048121464672812114,0.04205637491125701,0.8951245023385976,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,3,-0.012147021594357708,0.023834088329753197,-0.05886163351159292,0.0345675903228775,0.6102986279752298,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,4,0.037263423938267246,0.03004301712220198,-0.02162063599594593,0.09614748387248043,0.21485466924130825,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,5,-0.1123828150091309,0.048885294613109136,-0.20819757975766573,-0.016568050260596073,0.02151252522914282,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,6,0.004212991503539047,0.03882879080530528,-0.07189111067942579,0.08031709368650387,0.9135979505277514,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,7,-0.007455057516966547,0.037214717397006825,-0.08039558944578976,0.06548547441185665,0.8412264805093885,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,region_only,8,-0.07631496223541784,0.03549415061820585,-0.14588319780293912,-0.006746726667896552,0.03155233659013601,True,-1,0.95,hex,PanelOLS hex+date FE event-study
sch_flg,workmode_only,-8,0.0066834462789376265,0.011058243172612255,-0.014990550124620857,0.02835744268249611,0.5455883505470704,True,-1,0.95,hex,PanelOLS hex+date FE event-study
