outcome,change_type,estimate,estimate_pp,std_error,ci_lower,ci_upper,p_value,pretrend_p_value,n_obs,n_hexagons,n_treated_hexagons,n_treated_requests,weighting_rule,excluded_cohorts,horizon_days
sch_flg,region_and_workmode,0.009346424384321109,0.9346424384321108,0.014893387813636482,-0.019844615730406395,0.038537464499048615,0.5302953021935477,0.41364373813705035,102301,6160,2232,56511,treated_orders_on_post_event_weeks_normalized_to_1,,
sch_flg,region_only,-0.01995546629126745,-1.995546629126745,0.01749273688204329,-0.0542412305800723,0.014330297997537402,0.2539590604450661,0.057628808723207525,90710,4458,530,32412,treated_orders_on_post_event_weeks_normalized_to_1,,
sch_flg,workmode_only,-0.0026254871260780886,-0.2625487126078089,0.01141900259803868,-0.025006732218233903,0.019755757966077727,0.8181518900236088,0.39310309222526874,116092,5676,1748,111690,treated_orders_on_post_event_weeks_normalized_to_1,,
meet_flg,region_and_workmode,-0.009733245505205934,-0.9733245505205934,0.021655186483040465,-0.05217741101196525,0.03271092000155338,0.6530963470121667,0.20494800502669264,102247,6150,2222,56381,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,
meet_flg,region_only,0.01978328035807279,1.978328035807279,0.025530568799310413,-0.03025663448857562,0.0698231952047212,0.43840702493140304,0.17045474350236467,90710,4458,530,32412,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,
meet_flg,workmode_only,0.004333788708661069,0.4333788708661069,0.016260586325251312,-0.027536960488831506,0.03620453790615365,0.7898379420013227,0.6518111449421423,113234,5553,1625,104066,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,
success_within_20,region_and_workmode,-0.007152227337593001,-0.7152227337593001,0.024139396748442222,-0.05446544496453976,0.040160990289353764,0.7670097142938028,0.16212595173999955,91303,6105,2204,50305,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,20.0
success_within_20,region_only,-0.05983488471089746,-5.983488471089745,0.032247083659126166,-0.12303916868278474,0.003369399260989822,0.06352299673081228,0.27119416422325826,80964,4428,527,28673,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,20.0
success_within_20,workmode_only,-0.005384891149615899,-0.5384891149615899,0.017569202008563656,-0.039820527086400666,0.029050744787168868,0.7592269811309005,0.3798767678916912,100859,5519,1618,91285,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,20.0
utlz_within_25,region_and_workmode,0.018675244205033102,1.8675244205033101,0.026129328257811623,-0.03253823918027768,0.06988872759034388,0.4747799312575854,0.2789011883799033,88998,6087,2199,49070,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,25.0
utlz_within_25,region_only,0.02730592650528563,2.730592650528563,0.044610347333142376,-0.060130354267673436,0.1147422072782447,0.5404725926175028,0.2844386863871413,78907,4414,526,27861,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,25.0
utlz_within_25,workmode_only,0.010443790246857453,1.0443790246857452,0.018921224917987547,-0.02664181059239814,0.047529391086113044,0.5809746384702251,0.6076510063497371,98260,5502,1614,88857,treated_orders_on_post_event_weeks_normalized_to_1,2022-07-27,25.0
