specification,specification_label,change_type,estimate,std_error,ci_lower,ci_upper,n_obs,n_treated_hexagons,cohort_policy
A,CORE исходная,region_only,-0.01995546629126745,0.01749273688204329,-0.0542412305800723,0.014330297997537402,90710,530,all_sch_cohorts
A,CORE исходная,workmode_only,-0.0026254871260780886,0.011419002598038682,-0.025006732218233903,0.019755757966077727,116092,1748,all_sch_cohorts
A,CORE исходная,region_and_workmode,0.009346424384321109,0.014893387813636482,-0.019844615730406395,0.038537464499048615,102301,2232,all_sch_cohorts
B,CORE без empirical_closed,region_only,-0.02391329844933488,0.017329884343570575,-0.05787987176273321,0.010053274864063447,90641,524,all_sch_cohorts
B,CORE без empirical_closed,workmode_only,-0.002966734631684982,0.011438144036051147,-0.02538549694234523,0.01945202767897527,115936,1735,all_sch_cohorts
B,CORE без empirical_closed,region_and_workmode,0.010467177463176262,0.014974302374286043,-0.01888245519042438,0.0398168101167769,102156,2220,all_sch_cohorts
C,CORE достаточная активность,region_only,-0.0753305455835168,0.03418550935757617,-0.1423341439243661,-0.008326947242667512,81230,35,all_sch_cohorts
C,CORE достаточная активность,workmode_only,-0.0025584085601556405,0.014573819616560221,-0.031123095008613676,0.02600627788830239,101294,309,all_sch_cohorts
C,CORE достаточная активность,region_and_workmode,-0.03865017024305794,0.03181336930402649,-0.10100437407894985,0.023704033592833983,82806,74,all_sch_cohorts
A,CORE исходная,region_only,-0.01995546629126745,0.01749273688204329,-0.0542412305800723,0.014330297997537402,90710,530,exclude_2022-07-27
A,CORE исходная,workmode_only,0.004606437901664416,0.01170201430523136,-0.018329510136589046,0.027542385939917882,113234,1625,exclude_2022-07-27
A,CORE исходная,region_and_workmode,0.009080699587305497,0.014878812522488632,-0.02008177295677222,0.038243172131383216,102247,2222,exclude_2022-07-27
B,CORE без empirical_closed,region_only,-0.02391329844933488,0.017329884343570575,-0.05787987176273321,0.010053274864063447,90641,524,exclude_2022-07-27
B,CORE без empirical_closed,workmode_only,0.005265325871650666,0.011741973863852525,-0.017748942901500284,0.028279594644801617,113106,1614,exclude_2022-07-27
B,CORE без empirical_closed,region_and_workmode,0.01019921253145532,0.014959467433289351,-0.019121343637791808,0.03951976870070245,102102,2210,exclude_2022-07-27
C,CORE достаточная активность,region_only,-0.0753305455835168,0.03418550935757617,-0.1423341439243661,-0.008326947242667512,81230,35,exclude_2022-07-27
C,CORE достаточная активность,workmode_only,0.0064420814655282025,0.01526015611024331,-0.023467824510548685,0.03635198744160509,99075,269,exclude_2022-07-27
C,CORE достаточная активность,region_and_workmode,-0.03720320622286274,0.03180010253216871,-0.09953140718591341,0.02512499474018793,82787,73,exclude_2022-07-27
