change_type,rel_week,n_treated_orders,weight,event_week_estimate_days,weighted_component_days,estimate_days,std_error_days,ci_lower_days,ci_upper_days,estimator,cluster_level,se_method,source
region_and_workmode,0,1372,0.1495367847411444,0.7008450944820079,0.10480212203044303,1.181331603673443,0.1204109750827394,0.9453260925112736,1.4173371148356122,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_and_workmode,1,1510,0.1645776566757493,0.8513995407499428,0.14012134131143472,1.181331603673443,0.1204109750827394,0.9453260925112736,1.4173371148356122,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_and_workmode,2,2139,0.23313351498637602,0.8718319078631837,0.20325323715742233,1.181331603673443,0.1204109750827394,0.9453260925112736,1.4173371148356122,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_and_workmode,3,1457,0.15880108991825614,0.5234727929520394,0.0831280500633375,1.181331603673443,0.1204109750827394,0.9453260925112736,1.4173371148356122,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_and_workmode,4,546,0.05950953678474114,1.6218676301155428,0.09651659139434184,1.181331603673443,0.1204109750827394,0.9453260925112736,1.4173371148356122,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_and_workmode,5,463,0.05046321525885559,1.7019398032399469,0.08588535464851177,1.181331603673443,0.1204109750827394,0.9453260925112736,1.4173371148356122,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_and_workmode,6,433,0.04719346049046322,1.388598509407856,0.06553276889085577,1.181331603673443,0.1204109750827394,0.9453260925112736,1.4173371148356122,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_and_workmode,7,591,0.0644141689373297,3.558170651069766,0.2291966054258563,1.181331603673443,0.1204109750827394,0.9453260925112736,1.4173371148356122,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_and_workmode,8,664,0.07237057220708447,2.389030893061181,0.1728955327512397,1.181331603673443,0.1204109750827394,0.9453260925112736,1.4173371148356122,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_only,0,967,0.18624807395993837,0.270207454245738,0.050325617922886874,0.1135737302091405,0.0828896727829141,-0.0488900284453711,0.2760374888636522,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_only,1,768,0.14791987673343607,-0.1049096888560423,-0.015518228243728907,0.1135737302091405,0.0828896727829141,-0.0488900284453711,0.2760374888636522,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_only,2,1350,0.2600154083204931,-0.2993484638412879,-0.07783521305580483,0.1135737302091405,0.0828896727829141,-0.0488900284453711,0.2760374888636522,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_only,3,959,0.18470724191063173,-0.2067818670221158,-0.03819410833478602,0.1135737302091405,0.0828896727829141,-0.0488900284453711,0.2760374888636522,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_only,4,220,0.0423728813559322,0.8585649309587428,0.03637986995587893,0.1135737302091405,0.0828896727829141,-0.0488900284453711,0.2760374888636522,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_only,5,224,0.04314329738058552,0.8496743853652686,0.03665775468448,0.1135737302091405,0.0828896727829141,-0.0488900284453711,0.2760374888636522,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_only,6,142,0.027349768875192602,0.9522893001084825,0.02604489226028592,0.1135737302091405,0.0828896727829141,-0.0488900284453711,0.2760374888636522,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_only,7,214,0.04121725731895223,1.020944411125804,0.042080528501718416,0.1135737302091405,0.0828896727829141,-0.0488900284453711,0.2760374888636522,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
region_only,8,348,0.06702619414483821,0.8001739797774342,0.05363261651821015,0.1135737302091405,0.0828896727829141,-0.0488900284453711,0.2760374888636522,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
workmode_only,0,3086,0.10875770925110133,-0.1340046237896442,-0.01457403591241734,-0.2048130321912179,0.1130183972835751,-0.4263290908670252,0.0167030264845893,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
workmode_only,1,3191,0.11245814977973569,-0.0264663854135822,-0.002976360734968839,-0.2048130321912179,0.1130183972835751,-0.4263290908670252,0.0167030264845893,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
workmode_only,2,3692,0.13011453744493393,-0.3371139498112627,-0.043863425645927115,-0.2048130321912179,0.1130183972835751,-0.4263290908670252,0.0167030264845893,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
workmode_only,3,3604,0.12701321585903083,-0.2116512725091461,-0.02688250876204273,-0.2048130321912179,0.1130183972835751,-0.4263290908670252,0.0167030264845893,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
workmode_only,4,2672,0.09416740088105727,-0.4385080937045673,-0.04129316744946621,-0.2048130321912179,0.1130183972835751,-0.4263290908670252,0.0167030264845893,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
workmode_only,5,2406,0.08479295154185022,-0.3340003420667164,-0.028320874819824482,-0.2048130321912179,0.1130183972835751,-0.4263290908670252,0.0167030264845893,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
workmode_only,6,2788,0.09825550660792952,-0.6687963198506203,-0.06571292122444157,-0.2048130321912179,0.1130183972835751,-0.4263290908670252,0.0167030264845893,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
workmode_only,7,3992,0.1406872246696035,-0.4799870694699426,-0.0675280486810224,-0.2048130321912179,0.1130183972835751,-0.4263290908670252,0.0167030264845893,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
workmode_only,8,2944,0.10375330396475771,0.8321499917556322,0.08633831103889272,-0.2048130321912179,0.1130183972835751,-0.4263290908670252,0.0167030264845893,PanelOLS hex+date FE event-study,hex,a'Cov(theta)a; 95% CI = estimate +/- 1.96*SE,notebooks/final_empirical_recalculation.ipynb
