horizon_days,observation_end,n_requests_total,n_requests_mature,mature_share,n_success_within_horizon,sample
7,2022-10-18,781369,745320,0.9538643073886985,409134,treated
14,2022-10-18,781369,707762,0.9057973889417164,419640,treated
20,2022-10-18,781369,688025,0.880537876470656,414227,treated
25,2022-10-18,781369,672005,0.8600353994079621,406590,treated
30,2022-10-18,781369,653419,0.8362489425610691,396534,treated
7,2022-10-18,323125,308056,0.9533647969052225,176909,never_treated
14,2022-10-18,323125,292909,0.9064882011605416,179487,never_treated
20,2022-10-18,323125,284761,0.8812719535783365,176419,never_treated
25,2022-10-18,323125,278271,0.8611868471953579,173083,never_treated
30,2022-10-18,323125,270380,0.8367659574468085,168523,never_treated
