horizon_days,outcome,change_type,estimate,std_error,ci_lower,ci_upper,n_obs,n_treated_hexagons,n_treated_requests,excluded_cohorts,unit
7,success_within_7,region_and_workmode,-6.18234773827807,2.375190721663889,-10.837721552739293,-1.5269739238168476,98181,2216,54054,2022-07-27,percentage_points
7,success_within_7,region_only,-4.142540120570919,2.955198142608697,-9.934728480083965,1.6496482389421265,87121,529,30892,2022-07-27,percentage_points
7,success_within_7,workmode_only,1.735664536048264,1.7570519689922688,-1.7081573231765825,5.179486395273111,108657,1622,99141,2022-07-27,percentage_points
14,success_within_14,region_and_workmode,-2.3827191934791787,2.3515994750561124,-6.991854164589159,2.2264157776308022,93947,2210,51639,2022-07-27,percentage_points
14,success_within_14,region_only,-3.291395569057302,3.0534149185244313,-9.276088809365188,2.693297671250584,83352,527,29433,2022-07-27,percentage_points
14,success_within_14,workmode_only,0.660310473680748,1.7476108820077667,-2.765006855054474,4.085627802415971,103845,1622,94073,2022-07-27,percentage_points
20,success_within_20,region_and_workmode,-0.7152227337593001,2.4139396748442223,-5.446544496453976,4.016099028935376,91303,2204,50305,2022-07-27,percentage_points
20,success_within_20,region_only,-5.983488471089745,3.224708365912617,-12.303916868278474,0.3369399260989822,80964,527,28673,2022-07-27,percentage_points
20,success_within_20,workmode_only,-0.5384891149615899,1.7569202008563656,-3.9820527086400666,2.905074478716887,100859,1618,91285,2022-07-27,percentage_points
25,success_within_25,region_and_workmode,-0.5040753402607704,2.5833873335038375,-5.567514513928292,4.559363833406751,89172,2199,49229,2022-07-27,percentage_points
25,success_within_25,region_only,-7.260792732230671,3.560604353695071,-14.239577265473011,-0.2820081989883316,79050,526,27949,2022-07-27,percentage_points
25,success_within_25,workmode_only,-0.5202049281855547,1.78830073307247,-4.025274365007596,2.9848645086364867,98461,1616,89162,2022-07-27,percentage_points
30,success_within_30,region_and_workmode,-2.6063610808858297,2.954793663770779,-8.397756661876556,3.185034500104897,86720,2194,47944,2022-07-27,percentage_points
30,success_within_30,region_only,-13.034624659299855,4.075973813377395,-21.02353333351955,-5.04571598508016,76878,525,27248,2022-07-27,percentage_points
30,success_within_30,workmode_only,-0.6352586466989122,1.9133383854792236,-4.385401882238191,3.1148845888403667,95766,1613,86769,2022-07-27,percentage_points
