delta_w_h,change_type,cohort,n_hexagons,denominator
-7,workmode_only,2022-08-19,357,3980
-6,region_and_workmode,2022-08-19,163,3980
-6,region_and_workmode,2022-09-22,381,3980
-5,region_and_workmode,2022-08-19,112,3980
-5,region_and_workmode,2022-09-22,352,3980
-5,workmode_only,2022-09-22,76,3980
-4,region_and_workmode,2022-08-19,18,3980
-4,region_and_workmode,2022-09-22,293,3980
-4,workmode_only,2022-08-19,44,3980
-4,workmode_only,2022-09-22,116,3980
-3,region_and_workmode,2022-07-27,4,3980
-3,region_and_workmode,2022-08-12,77,3980
-3,region_and_workmode,2022-08-19,34,3980
-3,region_and_workmode,2022-09-22,90,3980
-3,workmode_only,2022-09-22,62,3980
-2,region_and_workmode,2022-07-27,1,3980
-2,region_and_workmode,2022-08-12,21,3980
-2,region_and_workmode,2022-08-19,1,3980
-2,region_and_workmode,2022-09-22,60,3980
-2,workmode_only,2022-07-27,45,3980
-2,workmode_only,2022-08-12,18,3980
-2,workmode_only,2022-08-19,253,3980
-2,workmode_only,2022-09-22,242,3980
-1,region_and_workmode,2022-07-27,2,3980
-1,region_and_workmode,2022-08-12,13,3980
-1,region_and_workmode,2022-09-22,65,3980
-1,workmode_only,2022-07-27,44,3980
-1,workmode_only,2022-08-12,50,3980
-1,workmode_only,2022-08-19,105,3980
-1,workmode_only,2022-09-22,240,3980
1,region_and_workmode,2022-08-12,6,3980
1,region_and_workmode,2022-08-19,4,3980
1,region_and_workmode,2022-09-22,25,3980
1,workmode_only,2022-07-27,34,3980
1,workmode_only,2022-08-19,47,3980
1,workmode_only,2022-09-22,15,3980
2,region_and_workmode,2022-07-27,3,3980
2,region_and_workmode,2022-08-12,19,3980
2,region_and_workmode,2022-08-19,6,3980
2,region_and_workmode,2022-09-22,86,3980
3,region_and_workmode,2022-08-12,23,3980
3,region_and_workmode,2022-09-22,11,3980
4,region_and_workmode,2022-08-12,7,3980
4,region_and_workmode,2022-09-22,88,3980
5,region_and_workmode,2022-08-12,2,3980
5,region_and_workmode,2022-08-19,2,3980
5,region_and_workmode,2022-09-22,40,3980
6,region_and_workmode,2022-08-12,202,3980
6,region_and_workmode,2022-09-22,11,3980
7,region_and_workmode,2022-08-19,10,3980
